Solution,N (Tourists),Profit,Impact,Satisfaction
Solution 1,100000.0,-1612000.0,9.0,0.71
Solution 2,1935246.6889292458,3017.0862577364314,174.17220200363212,0.64
Solution 3,2000000.0,60000.00000000023,180.0,0.64
Solution 4,199986.22426722583,-1524012.1226448412,17.998760184050326,0.879976581254284
Solution 5,1454890.2587849789,-419696.5722692185,130.9401232906481,0.64
Solution 6,296871.29991227086,-1438753.2560772016,26.718416992104377,0.8509386100263188
Solution 7,1524199.3836816524,-358704.5423601456,137.1779445313487,0.64
Solution 8,728430.3019779868,-1058981.3342593715,65.55872717801881,0.721470909406604
Solution 9,323197.68108502723,-1415586.040645176,29.08779129765245,0.8430406956744918
Solution 10,280056.54942879174,-1453550.2365026632,25.205089448591256,0.8559830351713625
Solution 11,1194599.7735341815,-648752.19928992,107.51397961807633,0.64
Solution 12,709256.1661604899,-1075854.5737787688,63.83305495444409,0.727223150151853
Solution 13,521472.58088237455,-1241104.1288235104,46.93253227941372,0.7835582257352877
Solution 14,743340.0238411166,-1045860.7790198174,66.90060214570049,0.7169979928476651
Solution 15,240610.40214749431,-1488262.846110205,21.65493619327449,0.8678168793557517
Solution 16,1594688.4510414088,-296674.16308356007,143.5219605937268,0.64
Solution 17,829884.2668024926,-969701.8452138064,74.68958401222433,0.6910347199592523
Solution 18,375758.7751893349,-1369332.2778333852,33.81828976704014,0.8272723674431995
Solution 19,469422.4763255997,-1286908.2208334722,42.24802286930398,0.7991732571023201
Solution 20,259634.27318180204,-1471521.839600014,23.367084586362186,0.8621097180454594
Solution 21,430505.00022118574,-1321155.5998053565,38.74545001990672,0.8108484999336443
Solution 22,492047.12656103185,-1266998.528626292,44.28424139049287,0.7923858620316905
Solution 23,456395.32464312867,-1298372.1143140467,41.075579217881575,0.8030814026070614
Solution 24,539624.4422509373,-1225130.490819175,48.566199802584364,0.7781126673247188
Solution 25,226528.60354889045,-1500654.8288769764,20.38757431940014,0.8720414189353328
Solution 26,1842498.5137206954,-78601.30792578775,165.8248662348626,0.64
Solution 27,1160172.9139184211,-679047.8357517892,104.4155622526579,0.64
Solution 28,352921.54474392737,-1389429.040625344,31.762939026953465,0.8341235365768218
Solution 29,902620.0570377314,-905694.3498067963,81.23580513339583,0.6692139828886806
Solution 30,482671.8472624105,-1275248.7744090788,43.44046625361694,0.7951984458212769
Solution 31,1078935.9418749898,-750536.3711500089,97.10423476874908,0.64
Solution 32,1225059.7635840587,-621947.4080460281,110.2553787225653,0.64
Solution 33,682958.905036368,-1098996.1635679961,61.466301453273125,0.7351123284890896
Solution 34,139422.52897999197,-1577308.1744976072,12.548027608199277,0.7770182992659863
Solution 35,627111.2904167488,-1148142.0644332608,56.44001613750739,0.7518666128749754
Solution 36,266839.0958153238,-1465181.595682515,24.015518623379144,0.8599482712554029
Solution 37,166048.8924210999,-1553876.974669432,14.944400317898992,0.8222831171158699
Solution 38,607876.8742493619,-1165068.3506605616,54.70891868244257,0.7576369377251915
Solution 39,1551102.6743084576,-335029.6466085571,139.5992406877612,0.64
Solution 40,1141894.6888708936,-695132.6737936136,102.77052199838043,0.64
Solution 41,214272.80896783448,-1511439.9281083057,19.284552807105104,0.8757181573096496
Solution 42,415099.49759941146,-1334712.442112518,37.35895478394703,0.8154701507201766
Solution 43,842753.5006498026,-958376.9194281736,75.84781505848223,0.6871739498050592
Solution 44,617185.4495611757,-1156876.8043861655,55.546690460505815,0.7548443651316473
Solution 45,1116536.7694740626,-717447.6428628248,100.48830925266564,0.64
Solution 46,1418676.8666423694,-451564.35735471477,127.68091799781327,0.64
Solution 47,800442.2289302148,-995610.838541411,72.03980060371934,0.6998673313209356
Solution 48,193472.40897935553,-1529744.2800981672,17.412516808142,0.8689030952649045
Solution 49,815646.8676831872,-982230.7564387951,73.40821809148686,0.6953059396950438
Solution 50,789232.4975610031,-1005475.4021463172,71.03092478049028,0.7032302507316991
Solution 51,1283337.8600657769,-570662.6831421163,115.5004074059199,0.64
Solution 52,984463.3251891157,-833672.2738335781,88.60169926702041,0.6446610024432653
Solution 53,756016.3176401795,-1034705.6404766418,68.04146858761617,0.7131951047079461
Solution 54,699888.7752785495,-1084097.8777548764,62.98998977506946,0.7300333674164352
Solution 55,974716.269922363,-842249.6824683205,87.72446429301269,0.6475851190232911
Solution 56,1318866.9015334,-539397.1266506079,118.69802113800598,0.64
Solution 57,1042744.1201695048,-782385.1742508357,93.84697081525545,0.64
Solution 58,508417.43035832746,-1252592.6612846719,45.757568732249474,0.7874747708925018
Solution 59,773111.9211448941,-1019661.509392493,69.58007290304047,0.7080664236565317
Solution 60,951480.3544014804,-862697.2881266972,85.63323189613324,0.6545558936795559
Solution 61,343013.46431780304,-1398148.1514003333,30.871211788602274,0.8370959607046591
Solution 62,782656.8717183992,-1011261.9528878087,70.43911845465593,0.7052029384844802
Solution 63,1969051.7920687923,32765.57702053734,177.2146612861913,0.64
Solution 64,1815442.0694399227,-102410.97889286769,163.38978624959304,0.64
