ID,PCI,RT,AADT,AT,AR,R,IRI,NM,YSM
361555,87.09,2,4424,1,50.26,14.78,0.86,0,5
543474,32.71,2,19283,2,79.99,19.24,0.92,1,8
680773,27.42,1,3442,1,75.16,19.69,0.79,1,18
573017,53.42,1,1697,1,54.76,12.94,0.73,0,2
196055,78.49,1,1906,1,51.42,13.74,1.13,0,6
24032,37.95,1,5084,2,70.97,17.92,1.06,1,5
295127,54.86,2,12722,1,63.61,15.28,0.98,0,6
152532,87.14,2,7549,1,60.78,14.88,0.6,0,7
805698,20.52,1,1981,2,74.4,18.68,1.03,1,6
532179,32.58,2,11485,2,77.97,17.87,0.94,1,6
162493,16.65,1,2871,1,93.94,19.29,1.07,1,20
45573,91.99,2,4786,1,49.74,14.45,0.48,0,4
195949,85.06,1,2219,2,57.65,13.51,0.8,0,1
812861,42.89,3,38137,2,61.51,18.04,1.32,1,21
968765,4.15,3,78486,1,83.76,18.58,0.49,1,13
925933,45.01,2,17639,2,96.16,19.08,0.76,1,5
1015055,62.55,3,16719,1,34.62,16.7,0.97,0,4
833245,44.33,3,20127,2,75.23,19.34,1.0,1,7
214766,32.45,2,6908,2,91.93,18.38,1.4,1,5
174578,37.14,1,2504,2,72.04,19.39,1.15,1,8
589342,37.84,2,15505,2,93.37,18.99,0.82,1,12
29676,100.0,3,37355,1,37.82,12.49,0.65,0,2
393870,41.53,1,1991,2,75.25,18.78,0.86,1,8
335029,87.95,1,1729,1,37.64,11.44,0.54,0,5
872039,15.44,2,12525,2,85.48,19.88,1.13,1,6
429795,9.18,1,3365,2,91.18,18.78,0.91,1,5
920179,55.87,3,32515,1,47.59,16.49,0.91,0,7
20057,74.78,2,13140,1,48.51,14.43,1.06,0,3
193165,23.84,1,3733,2,68.64,20.27,0.98,1,6
288921,61.1,1,347,2,67.84,15.17,0.77,0,1
148295,100.0,1,1691,1,48.63,13.27,0.67,0,5
1041989,82.62,1,1899,1,69.65,14.73,0.57,0,6
962316,91.82,1,2117,1,58.5,14.08,0.62,0,5
