PCI,R,AR,YSM,RT,AT,AADT,PC_结构型,PC_环境型,PC_效率型,S,cluster,priority_raw,priority
87.09,14.78,50.26,5,2,1,4424,-1.238770037566725,-0.8404793150362849,-0.030194667029794585,-0.7090153372858108,0,1,紧急
32.71,19.24,79.99,8,2,2,19283,1.188101066413276,0.7516895877856183,0.5087760236154748,0.8187900716778053,1,2,高
27.42,19.69,75.16,18,1,1,3442,1.428129647244432,1.9811536319499985,-0.9768223816579006,0.8269070533222147,1,2,高
53.42,12.94,54.76,2,1,1,1697,-0.8613744101932654,-1.0896104272276446,-1.0646675630078437,-1.0047591322833296,0,1,紧急
78.49,13.74,51.42,6,1,1,1906,-1.2817684456375416,-0.6530686660973233,-1.0541462776771056,-0.9956176624794165,0,1,紧急
37.95,17.92,70.97,5,1,2,5084,0.7365534927504394,-0.02790810136527805,-1.1032097207560128,-0.12310836056099753,3,4,低
54.86,15.28,63.61,6,2,1,12722,-0.32454063361629587,-0.1747855615753738,0.38753559935520826,-0.04099885730272279,3,4,低
87.14,14.88,60.78,7,2,1,7549,-1.2155448982775288,-0.14392532994917487,0.12712120214990338,-0.41523877249375324,3,4,低
20.52,18.68,74.4,6,1,2,1981,1.3506946939177322,0.24856757195964163,-1.2594180862166857,0.12515962358560956,3,4,低
32.58,17.87,77.97,6,2,2,11485,0.856279110193627,0.3886389979763239,0.11621629629922366,0.45657075604608666,1,2,高
16.65,19.29,93.94,20,1,1,2871,1.5949568052453458,3.001794445860021,-1.0055671372744148,1.217107982706262,2,3,中
91.99,14.45,49.74,4,2,1,4786,-1.439870979933819,-1.0027791200955054,-0.011971196744018385,-0.8252489479839706,0,1,紧急
85.06,13.51,57.65,1,1,2,2219,-1.499451145456733,-1.1181165172401177,-1.24743690961996,-1.2885804462003008,0,1,紧急
42.89,18.04,61.51,21,3,2,38137,0.6445115265039483,1.8712781480481802,2.3550994867170405,1.6174989146434389,2,3,中
4.15,18.58,83.76,13,3,1,78486,1.728487181059343,1.6090943745493724,4.595359037887056,2.6269068148540904,2,3,中
45.01,19.08,96.16,5,2,2,17639,0.8467375215399383,0.9604390194639186,0.4260152911574193,0.7472670798876215,1,2,高
62.55,16.7,34.62,4,3,1,16719,-0.16625732191602655,-1.596022806754396,1.485941664567887,-0.10660615129304829,3,4,低
44.33,19.34,75.23,7,3,2,20127,0.9270263320624949,0.4230304420231116,1.4484566694606054,0.9280907687648502,1,2,高
32.45,18.38,91.93,5,2,2,6908,0.9841876015842034,0.7944720356962532,-0.1141948183361292,0.5607187104429963,1,2,高
37.14,19.39,72.04,8,1,2,2504,1.115927025156742,0.439765823966956,-1.2330897023507714,0.1192594394399824,3,4,低
