Segment ID,PCI,Road Type,AADT,Asphalt Type,Last Maintenance,Average Rainfall,Rutting,IRI,Needs Maintenance
SID 361555,87.09,Secondary,4424,Concrete,2020,50.26,14.78,0.86,0
SID 543474,32.71,Secondary,19283,Asphalt,2017,79.99,19.24,0.92,1
SID 680773,27.42,Tertiary,3442,Concrete,2007,75.16,19.69,0.79,1
SID 573017,53.42,Tertiary,1697,Concrete,2023,54.76,12.94,0.73,0
SID 196055,78.49,Tertiary,1906,Concrete,2019,51.42,13.74,1.13,0
SID 24032,37.95,Tertiary,5084,Asphalt,2020,70.97,17.92,1.06,1
SID 295127,54.86,Secondary,12722,Concrete,2019,63.61,15.28,0.98,0
SID 152532,87.14,Secondary,7549,Concrete,2018,60.78,14.88,0.6,0
SID 805698,20.52,Tertiary,1981,Asphalt,2019,74.4,18.68,1.03,1
SID 532179,32.58,Secondary,11485,Asphalt,2019,77.97,17.87,0.94,1
SID 162493,16.65,Tertiary,2871,Concrete,2005,93.94,19.29,1.07,1
SID 45573,91.99,Secondary,4786,Concrete,2021,49.74,14.45,0.48,0
SID 195949,85.06,Tertiary,2219,Asphalt,2024,57.65,13.51,0.8,0
SID 812861,42.89,Primary,38137,Asphalt,2004,61.51,18.04,1.32,1
SID 968765,4.15,Primary,78486,Concrete,2012,83.76,18.58,0.49,1
SID 925933,45.01,Secondary,17639,Asphalt,2020,96.16,19.08,0.76,1
SID 1015055,62.55,Primary,16719,Concrete,2021,34.62,16.7,0.97,0
SID 833245,44.33,Primary,20127,Asphalt,2018,75.23,19.34,1.0,1
SID 214766,32.45,Secondary,6908,Asphalt,2020,91.93,18.38,1.4,1
SID 174578,37.14,Tertiary,2504,Asphalt,2017,72.04,19.39,1.15,1
SID 589342,37.84,Secondary,15505,Asphalt,2013,93.37,18.99,0.82,1
SID 29676,100.0,Primary,37355,Concrete,2023,37.82,12.49,0.65,0
SID 393870,41.53,Tertiary,1991,Asphalt,2017,75.25,18.78,0.86,1
SID 335029,87.95,Tertiary,1729,Concrete,2020,37.64,11.44,0.54,0
SID 872039,15.44,Secondary,12525,Asphalt,2019,85.48,19.88,1.13,1
SID 429795,9.18,Tertiary,3365,Asphalt,2020,91.18,18.78,0.91,1
SID 920179,55.87,Primary,32515,Concrete,2018,47.59,16.49,0.91,0
SID 20057,74.78,Secondary,13140,Concrete,2022,48.51,14.43,1.06,0
SID 193165,23.84,Tertiary,3733,Asphalt,2019,68.64,20.27,0.98,1
SID 288921,61.1,Tertiary,347,Asphalt,2024,67.84,15.17,0.77,0
SID 148295,100.0,Tertiary,1691,Concrete,2020,48.63,13.27,0.67,0
SID 1041989,82.62,Tertiary,1899,Concrete,2019,69.65,14.73,0.57,0
SID 962316,91.82,Tertiary,2117,Concrete,2020,58.5,14.08,0.62,0
SID 663259,53.56,Tertiary,771,Concrete,2020,58.12,12.93,0.56,0
