ID,NM,PCI,AADT,R,IRI,PCI_scaled,AADT_scaled,R_scaled,IRI_scaled
361555,0,87.09,4424.0,14.78,0.86,1.1254779331221652,-0.5151172871668013,-0.6264074546661247,0.041470998129241224
543474,1,32.71,19283.0,19.24,0.92,-0.7642422814459022,0.5605754898080244,0.9159863601456915,0.29485672336015584
680773,1,27.42,3442.0,19.69,0.79,-0.9480712614949106,-0.5862075561613015,1.0716090544652703,-0.25414568130682536
573017,0,53.42,1697.0,12.94,0.73,-0.044563987151958265,-0.7125339506576385,-1.2627313603283987,-0.50753140653774
196055,0,78.49,1906.0,13.74,1.13,0.826625526993342,-0.6974037406577906,-0.9860687926491489,1.1817067616683556
24032,1,37.95,5084.0,17.92,1.06,-0.5821508153860149,-0.46733767664096604,0.4594931234749307,0.8860900822322896
295127,0,54.86,12722.0,15.28,0.98,0.005476415734728249,0.0856027251716538,-0.45349334986659373,0.54824244859107
152532,0,87.14,7549.0,14.88,0.6,1.127215447111286,-0.2888880706618998,-0.5918246337062181,-1.0565338112047213
805698,1,20.52,1981.0,18.68,1.03,-1.1878481919936175,-0.691974239461673,0.7223225627702171,0.7593972196168323
532179,1,32.58,11485.0,17.87,0.94,-0.768759817817617,-0.00394784788964637,0.4422017129949774,0.37931863177046027
162493,1,16.65,2871.0,19.29,1.07,-1.3223317747515875,-0.627544158601077,0.9332777706256448,0.928321036437442
45573,0,91.99,4786.0,14.45,0.48,1.2957543040560289,-0.48891089472687344,-0.7405307638338152,-1.56330526166655
195949,0,85.06,2219.0,13.51,0.8,1.05493486516385,-0.6747446223326596,-1.0656092808569333,-0.21191472710167295
812861,1,42.89,38137.0,18.04,1.32,-0.410484433260854,1.9254796971627162,0.5009925086268173,1.984094891566252
968765,1,4.15,78486.0,18.58,0.49,-1.756710272031853,4.846478947324721,0.6877397418103105,-1.5210743074613975
925933,1,45.01,17639.0,19.08,0.76,-0.33681384012212107,0.4415608235891259,0.8606538466098415,-0.38083854392228267
1015055,0,62.55,16719.0,16.7,0.97,0.2727060672615475,0.3749589422500829,0.03758270776407426,0.5060114943859175
833245,1,44.33,20127.0,19.34,1.0,-0.3604440303741675,0.6216754766016682,0.9505691811055981,0.632704357001375
214766,1,32.45,6908.0,18.38,1.4,-0.7732773541893316,-0.33529220755138517,0.6185740998904983,2.3219425252074704
174578,1,37.14,2504.0,19.39,1.15,-0.6102985420097762,-0.6541125177874126,0.9678605915855515,1.2661686700786605
589342,1,37.84,15505.0,18.99,0.82,-0.5859733461620812,0.28707341622225885,0.8295293077459259,-0.1274528186913685
29676,0,100.0,37355.0,12.49,0.65,1.574104045113223,1.8688680980245296,-1.4183540546479765,-0.845379040178959
