F1_维护价值,F2_总成本(元),F3_总交通影响(小时),维护路段数,决策变量x_i
207999.1454,4634553184.0,487114.62,421659,[已截断-42万决策变量]
208009.4926,4634899348.0,487034.04,421702,[已截断-42万决策变量]
207983.1689,4637311946.67,487023.82,421933,[已截断-42万决策变量]
207983.1689,4637311946.67,487023.82,421933,[已截断-42万决策变量]
205899.315,4592834001.0,481216.42,417899,[已截断-42万决策变量]
206303.1997,4598499496.67,481683.7,418396,[已截断-42万决策变量]
206942.6596,4608507745.0,483429.89,419299,[已截断-42万决策变量]
207154.6267,4615031960.0,483751.33,419900,[已截断-42万决策变量]
206170.3724,4597630277.33,481867.57,418336,[已截断-42万决策变量]
206871.8985,4613487252.67,482925.28,419787,[已截断-42万决策变量]
206774.3654,4606413627.33,483228.25,419116,[已截断-42万决策变量]
207424.2914,4620426250.0,485060.24,420372,[已截断-42万决策变量]
206754.5217,4610211754.33,482984.37,419480,[已截断-42万决策变量]
207937.6789,4631687990.0,486142.73,421404,[已截断-42万决策变量]
207280.769,4617283276.0,484637.71,420088,[已截断-42万决策变量]
207030.6088,4613709740.0,483973.84,419765,[已截断-42万决策变量]
207897.0744,4631373802.67,486576.95,421381,[已截断-42万决策变量]
206118.0412,4596801790.33,482087.3,418242,[已截断-42万决策变量]
207014.8514,4611624572.33,484417.36,419568,[已截断-42万决策变量]
207970.8979,4636323885.33,486706.74,421839,[已截断-42万决策变量]
207381.3141,4618133482.67,484239.84,420166,[已截断-42万决策变量]
207945.4015,4634030727.67,486370.19,421620,[已截断-42万决策变量]
206677.2017,4607102030.0,482696.04,419195,[已截断-42万决策变量]
206972.9722,4614274754.0,482972.97,419860,[已截断-42万决策变量]
207687.5216,4630125089.33,485332.83,421271,[已截断-42万决策变量]
206510.5676,4604044540.33,482499.02,418914,[已截断-42万决策变量]
207685.6932,4624201834.67,485903.59,420713,[已截断-42万决策变量]
207478.3812,4621716364.33,484788.2,420504,[已截断-42万决策变量]
205923.4641,4593072381.33,481403.06,417917,[已截断-42万决策变量]
205923.4641,4593072381.33,481403.06,417917,[已截断-42万决策变量]
207859.6158,4632713051.67,485793.64,421520,[已截断-42万决策变量]
206620.4946,4606154852.33,482844.03,419087,[已截断-42万决策变量]
207871.7438,4630955390.0,486201.87,421343,[已截断-42万决策变量]
206674.5844,4607444966.67,482571.99,419219,[已截断-42万决策变量]
206329.5686,4600881335.0,481972.97,418626,[已截断-42万决策变量]
207184.341,4618322022.67,483363.22,420223,[已截断-42万决策变量]
207184.341,4618322022.67,483363.22,420223,[已截断-42万决策变量]
207262.3439,4616451450.33,484086.57,420023,[已截断-42万决策变量]
207765.6326,4628379705.67,486398.94,421106,[已截断-42万决策变量]
206662.4718,4604791447.0,483085.0,418960,[已截断-42万决策变量]
206725.7078,4606246152.0,482767.43,419100,[已截断-42万决策变量]
206438.9592,4602461212.67,482529.23,418765,[已截断-42万决策变量]
206497.0031,4602487329.0,482318.78,418755,[已截断-42万决策变量]
207747.4319,4628502039.33,486261.21,421116,[已截断-42万决策变量]
207961.4376,4635689844.67,486797.14,421774,[已截断-42万决策变量]
207961.4376,4635689844.67,486797.14,421774,[已截断-42万决策变量]
206412.0604,4601524967.67,482179.09,418681,[已截断-42万决策变量]
206090.4024,4596549895.67,481833.04,418228,[已截断-42万决策变量]
206070.4087,4600309102.33,481548.89,418585,[已截断-42万决策变量]
205923.5851,4594971256.0,481836.63,418086,[已截断-42万决策变量]
205923.5851,4594971256.0,481836.63,418086,[已截断-42万决策变量]
207742.3847,4626393462.33,485381.9,420923,[已截断-42万决策变量]
206500.5117,4603498426.0,482375.85,418856,[已截断-42万决策变量]
206005.865,4595461957.67,482001.06,418125,[已截断-42万决策变量]
206005.865,4595461957.67,482001.06,418125,[已截断-42万决策变量]
207493.5855,4622309309.0,484839.77,420551,[已截断-42万决策变量]
207549.6508,4627277970.0,484963.71,421032,[已截断-42万决策变量]
207221.3503,4612639700.0,484139.2,419669,[已截断-42万决策变量]
206325.0315,4599550730.0,482249.5,418485,[已截断-42万决策变量]
207660.8774,4629573652.67,485293.54,421219,[已截断-42万决策变量]
206560.7183,4606223922.0,482349.28,419121,[已截断-42万决策变量]
207332.1312,4617863332.0,483978.98,420148,[已截断-42万决策变量]
207412.3673,4623376572.0,484345.04,420679,[已截断-42万决策变量]
206671.0341,4605081594.67,483121.12,418986,[已截断-42万决策变量]
207808.0484,4631571666.67,485577.29,421413,[已截断-42万决策变量]
207224.8366,4615483033.33,484165.6,419923,[已截断-42万决策变量]
206433.2208,4601786150.0,482194.03,418701,[已截断-42万决策变量]
207021.1033,4611741532.67,484521.55,419577,[已截断-42万决策变量]
207864.8765,4629360198.33,486440.65,421191,[已截断-42万决策变量]
207552.9482,4626208681.33,485212.32,420917,[已截断-42万决策变量]
206947.8036,4612788647.33,483625.24,419688,[已截断-42万决策变量]
206018.4704,4597805277.33,481579.89,418352,[已截断-42万决策变量]
207508.1451,4621933032.0,485618.53,420508,[已截断-42万决策变量]
207614.8443,4624473186.67,485533.31,420764,[已截断-42万决策变量]
207542.8915,4622757548.33,485832.54,420576,[已截断-42万决策变量]
206321.0063,4600591187.33,481936.85,418600,[已截断-42万决策变量]
207524.7855,4626902117.33,484802.13,421000,[已截断-42万决策变量]
207191.495,4616722802.33,483716.28,420074,[已截断-42万决策变量]
207449.6221,4620844662.67,485435.32,420410,[已截断-42万决策变量]
207532.7705,4625653705.33,484938.04,420879,[已截断-42万决策变量]
