ID,聚类标签,业务分区,NM,PCI,AADT,R,IRI
361555,0,一般维护区,0,87.09,4424.0,14.78,0.86
543474,1,急需维护区,1,32.71,19283.0,19.24,0.92
680773,1,急需维护区,1,27.42,3442.0,19.69,0.79
573017,0,一般维护区,0,53.42,1697.0,12.94,0.73
196055,0,一般维护区,0,78.49,1906.0,13.74,1.13
24032,1,急需维护区,1,37.95,5084.0,17.92,1.06
295127,0,一般维护区,0,54.86,12722.0,15.28,0.98
152532,0,一般维护区,0,87.14,7549.0,14.88,0.6
805698,1,急需维护区,1,20.52,1981.0,18.68,1.03
532179,1,急需维护区,1,32.58,11485.0,17.87,0.94
162493,1,急需维护区,1,16.65,2871.0,19.29,1.07
45573,0,一般维护区,0,91.99,4786.0,14.45,0.48
195949,0,一般维护区,0,85.06,2219.0,13.51,0.8
812861,2,急需维护区,1,42.89,38137.0,18.04,1.32
968765,2,急需维护区,1,4.15,78486.0,18.58,0.49
925933,1,急需维护区,1,45.01,17639.0,19.08,0.76
1015055,1,急需维护区,0,62.55,16719.0,16.7,0.97
833245,1,急需维护区,1,44.33,20127.0,19.34,1.0
214766,1,急需维护区,1,32.45,6908.0,18.38,1.4
174578,1,急需维护区,1,37.14,2504.0,19.39,1.15
589342,1,急需维护区,1,37.84,15505.0,18.99,0.82
29676,0,一般维护区,0,100.0,37355.0,12.49,0.65
393870,1,急需维护区,1,41.53,1991.0,18.78,0.86
335029,0,一般维护区,0,87.95,1729.0,11.44,0.54
872039,1,急需维护区,1,15.44,12525.0,19.88,1.13
429795,1,急需维护区,1,9.18,3365.0,18.78,0.91
920179,2,急需维护区,0,55.87,32515.0,16.49,0.91
20057,0,一般维护区,0,74.78,13140.0,14.43,1.06
193165,1,急需维护区,1,23.84,3733.0,20.27,0.98
288921,0,一般维护区,0,61.1,347.0,15.17,0.77
148295,0,一般维护区,0,100.0,1691.0,13.27,0.67
1041989,0,一般维护区,0,82.62,1899.0,14.73,0.57
962316,0,一般维护区,0,91.82,2117.0,14.08,0.62
663259,0,一般维护区,0,53.56,771.0,12.93,0.56
347744,1,急需维护区,1,35.3,5788.0,17.36,0.78
322938,2,急需维护区,1,24.82,36802.0,19.05,0.68
978790,0,一般维护区,0,77.07,1862.0,14.25,0.75
147264,2,急需维护区,0,100.0,40536.0,16.92,0.68
107102,1,急需维护区,1,0.0,3437.0,17.73,0.92
627171,1,急需维护区,1,19.7,16012.0,18.86,0.95
540058,0,一般维护区,0,94.36,14133.0,13.49,0.41
897773,0,一般维护区,0,67.33,2249.0,16.05,0.3
423256,0,一般维护区,0,43.8,13052.0,14.36,0.71
1254,0,一般维护区,0,50.25,10844.0,14.4,0.95
332989,1,急需维护区,1,15.88,1988.0,18.92,0.94
877775,1,急需维护区,1,27.55,17787.0,18.21,0.74
304249,0,一般维护区,0,33.23,12112.0,12.94,0.95
386409,0,一般维护区,0,72.05,13073.0,12.67,0.85
394836,2,急需维护区,0,70.81,37293.0,14.46,0.82
133421,0,一般维护区,0,85.21,7836.0,12.88,0.23
213907,0,一般维护区,0,61.03,6957.0,14.62,0.89
845599,0,一般维护区,0,69.93,2426.0,14.26,1.21
144328,1,急需维护区,1,24.31,2146.0,18.42,1.07
439431,1,急需维护区,1,27.21,2857.0,21.75,1.03
573303,0,一般维护区,0,49.7,17878.0,13.22,0.89
987289,1,急需维护区,1,51.68,5514.0,19.13,1.03
369511,0,一般维护区,0,82.75,870.0,12.49,1.13
744783,0,一般维护区,0,72.21,1992.0,12.25,0.46
497983,0,一般维护区,0,69.96,903.0,11.62,1.0
