ID,NM,y_hat_prob,y_hat_i
361555,0,0.0001,0
543474,1,1.0,1
680773,1,1.0,1
573017,0,0.0001,0
196055,0,0.0001,0
24032,1,1.0,1
295127,0,0.0001,0
152532,0,0.0001,0
805698,1,1.0,1
532179,1,1.0,1
162493,1,1.0,1
45573,0,0.0001,0
195949,0,0.0001,0
812861,1,1.0,1
968765,1,1.0,1
925933,1,1.0,1
1015055,0,0.0001,0
833245,1,1.0,1
214766,1,1.0,1
174578,1,1.0,1
589342,1,1.0,1
29676,0,0.0001,0
393870,1,1.0,1
335029,0,0.0001,0
872039,1,1.0,1
429795,1,1.0,1
920179,0,0.0001,0
20057,0,0.0001,0
193165,1,1.0,1
288921,0,0.0001,0
148295,0,0.0001,0
1041989,0,0.0001,0
962316,0,0.0001,0
663259,0,0.0001,0
347744,1,1.0,1
322938,1,1.0,1
978790,0,0.0001,0
147264,0,0.0001,0
107102,1,1.0,1
627171,1,1.0,1
540058,0,0.0001,0
897773,0,0.0001,0
423256,0,0.0001,0
1254,0,0.0001,0
332989,1,1.0,1
877775,1,1.0,1
304249,0,0.0001,0
386409,0,0.0001,0
394836,0,0.0001,0
133421,0,0.0001,0
213907,0,0.0001,0
845599,0,0.0001,0
144328,1,1.0,1
439431,1,1.0,1
573303,0,0.0001,0
987289,1,1.0,1
369511,0,0.0001,0
744783,0,0.0001,0
497983,0,0.0001,0
346425,0,0.0001,0
665995,1,1.0,1
417090,0,0.0001,0
450143,0,0.0001,0
87426,0,0.0001,0
794650,1,1.0,1
668085,0,0.0001,0
384275,0,0.0001,0
150527,1,1.0,1
564962,0,0.0001,0
421759,0,0.0001,0
585291,0,0.0001,0
860703,0,0.0001,0
717975,1,1.0,1
10721,1,1.0,1
193242,0,0.0001,0
684462,1,1.0,1
906926,1,1.0,1
428394,0,0.0001,0
594162,1,1.0,1
726700,0,0.0001,0
647800,0,0.0001,0
858848,1,1.0,1
381346,0,0.0001,0
572058,1,1.0,1
32622,0,0.0001,0
852739,0,0.0001,0
612757,1,1.0,1
924042,0,0.0001,0
622955,1,1.0,1
522873,0,0.0001,0
589715,1,1.0,1
430753,0,0.0001,0
753165,0,0.0001,0
929015,0,0.0001,0
442326,1,1.0,1
788593,0,0.0001,0
334749,0,0.0001,0
756198,1,1.0,1
923875,0,0.0001,0
469796,0,0.0001,0
271579,0,0.0001,0
817107,1,1.0,1
121174,0,0.0001,0
731756,0,0.0001,0
730463,0,0.0001,0
276577,1,1.0,1
373897,1,1.0,1
30447,1,1.0,1
390022,0,0.0001,0
767981,1,1.0,1
33333,0,0.0001,0
718336,0,0.0001,0
562374,0,0.0001,0
264505,0,0.0001,0
313026,1,1.0,1
579884,0,0.0001,0
145631,0,0.0001,0
852433,1,1.0,1
1013237,1,1.0,1
485010,1,1.0,1
196114,1,1.0,1
827241,0,0.0001,0
304812,1,1.0,1
931631,1,1.0,1
596707,0,0.0001,0
747342,0,0.0001,0
282988,0,0.0001,0
538646,0,0.0001,0
933108,1,1.0,1
450139,1,1.0,1
264279,1,1.0,1
164166,1,1.0,1
794550,0,0.0001,0
763066,1,1.0,1
916891,1,1.0,1
599196,0,0.0001,0
780221,1,1.0,1
204980,0,0.0001,0
867307,1,0.9999,1
845682,0,0.0001,0
525700,0,0.0001,0
686971,1,1.0,1
137345,1,1.0,1
540664,0,0.0001,0
42778,0,0.0001,0
783454,1,1.0,1
752377,1,1.0,1
629401,1,1.0,1
578613,0,0.0001,0
855250,0,0.0001,0
331137,0,0.0001,0
928201,1,1.0,1
179638,0,0.0001,0
1044875,1,1.0,1
488203,1,1.0,1
389314,0,0.0001,0
731211,0,0.0001,0
758114,1,1.0,1
455827,1,1.0,1
584889,1,1.0,1
793411,0,0.0001,0
55108,0,0.0001,0
340036,0,0.0001,0
480673,0,0.0001,0
631487,1,1.0,1
192179,1,1.0,1
373603,1,1.0,1
452412,1,1.0,1
844106,1,1.0,1
